,会社名,給与,初年度年収
1166,株式会社不動産SHOPナカジツ | ＼未経験歓迎！／◎新しい事業の柱『家づくり』部門で増員募集！,"【月給322,890円〜383,415円＋諸手当＋賞与年2回】 ※あなたの年齢・スキル・経験を考慮の上、決定いたし…",440万円～600万円
1167,株式会社フジナガ | 業界シェアトップクラス！ 鳥害対策のリーディングカンパニー,■月給24万円〜31万円＋諸手当＋賞与(年2回)＋決算賞与 ※関東支店・横浜営業所勤務の場合は都市手当が2…,360万円～460万円
1168,株式会社ガリレオコーポレーション | ☆★完全週休2日制&年間休日117日で、プライベートも充実★☆,月給25万円以上 ★平均月収80万円！ ※経験・年齢・能力を考慮の上、優遇します。 ※試用期間1〜3ヶ月…,500万円～2000万円
1169,株式会社ワット・コンサルティング | 質の高い研修が魅力！★未経験向け研修カリキュラム期間No.1,"【未経験】 月給19万5,000円〜24万円＋住宅手当＋各種手当 【経験者】 月給24万円〜45万500円＋住宅手当…",250万円～600万円
1170,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,◆月給45万1040円〜 ※一律支給の手当、40時間分の固定残業代 9万円〜を含む ※超過分は別途支給します。…,600万円～1000万円
1171,株式会社アイエスエフネット | 毎年69％が昇給★インセンティブ還元率MAX60％★完全週休2日制,"月給 255,000円 〜 400,000円＋インセンティブ賞与・諸手当 ※経験・スキルを考慮して決定します。 　月…",306万円～1000万円
1172,株式会社エコスマート | 創業以来10期連続増収増益◆社員定着率92.3％◆年3回長期休み有,月給:22万〜53万円+諸手当+インセンティブ年4回+賞与年2回 ※経験・スキル・前給を考慮し、決定します。…,350万円～600万円
1173,株式会社エム・アンド・アイ | コロナ禍でも売上増/残業月平均8h/年休128日,月給25万円〜65万円＋残業代全額支給＋各種手当 ※経験・スキルを考慮の上、当社規定より決定します。 ※…,300万円～780万円
1174,大東建託株式会社 | 【東証一部上場】◆全国募集◆残業代1分単位支給◆Web説明会実施,"月給:20万3,000円〜＋歩合給 【月収例：29万6,250円】 （首都圏エリア：月給22万5,000円＋残業手当7万1,…",400万円～1000万円
1175,ワークスアイディ株式会社 | 前給を最大限考慮/自社内開発アリ/土日休み/マネジャーへの道も,月給：22万円〜70万円 ※経験・能力・スキル等を考慮の上、決定します。 ※試用期間6ヶ月（期間中の待遇…,300万円～800万円
1176,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
1177,株式会社ヒマラヤ | 【 東証1部上場 】★有給の計画取得あり　★残業月平均6.32時間,◆管理社員グループ 月給18万100円以上＋各種手当＋賞与 ＜月給例＞ 23歳:月給20万円＋手当 30歳:月給31…,不明
1178,株式会社東急コミュニティー | 大阪府緊急雇用対策に賛同/年休120日以上/リフレッシュ休暇あり,月給20万円〜29万円＋各種諸手当＋賞与（年2回） ※定期昇給あり！ ※経験・年齢・能力を考慮の上、当社…,350万円～600万円
1179,株式会社ウィンノット | 業界TOPクラスのシェア／完全週休2日制(土・日)／福利厚生も充実,月給／26万円以上 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、面接など…,不明
1180,株式会社ＫＯＧＡＯ | ★芸能人も多数来店 ★メディアで話題のSpeed小顔,月給24万円〜40万円＋手当て＋業績給 ★業界最高水準の給与★ 20代前半で月収80万円以上の高収入も可能…,350万円～600万円
1181,住友生命保険相互会社 | 創業113周年 ◆完全週休2日 ◆約2年9ヶ月の特別研修カリキュラム,"月給300,000円〜＋諸手当 ※前職の経験・年収実績に応じた給与保障制度あり。 ※時間外手当を別途支給。…",460万円～600万円
1182,セントラル警備保障株式会社 | 東証一部上場◆筆頭株主はJR東日本◆入社祝い金5万円◆賞与年2回,"月給 189,500円以上 + 各種手当 ※経験・スキル等を考慮の上、決定します。 ※新任研修期間（20時間）の…",350万円～400万円
1183,株式会社コプロ・エンジニアード | 新規プロジェクト月1000件以上｜年間休日125日／転勤ほぼなし,月給40万円〜75万円+残業手当 ※前職給・年齢・経験・能力などを考慮し、支給額を決定致します。 ※残業…,520万円～940万円
1184,株式会社 One's Will | ★未経験入社1年目の平均年収450万円★残業月10～15時間程度,"【関東】 月給250,000円〜 ※試用期間中:月給230,000円〜 【関西】 月給240,000円〜 ※試用期間中：月給…",300万円～700万円
1185,重設工業株式会社 | 未経験OK＆寮完備！必要なものは全て用意するのでまずはご応募を,月給23万円〜40万円 + 諸手当 ※前職の年収・経験を考慮して給与設定をしたいと考えています。 ※年齢、…,400万円～600万円
1186,株式会社トライアルカンパニー | ★転居なしで活躍できる ★残業月15.5h,月給25万5千円〜30万5千円 【マネージャー採用の場合】 月給30万円〜44万7千円 ※能力、年齢などを考慮…,360万円～800万円
1187,株式会社カナモト | <東証1部上場の安定成長企業>★土日祝休み★人物重視の採用,■月給23万円〜30万円＋諸手当＋賞与年3回（実績：4.5ヵ月分） ※経験、能力を考慮し、優遇いたします。 …,350万円～450万円
1188,大同生命保険株式会社 | ＜ ★基本定時(17時)退社 ★ 主婦や子育て中のママも多数在籍 ＞,初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …,不明
1189,ケイティケイ株式会社 | ≪大阪・福岡 積極採用中≫ ★JASDAQ上場 ★賞与実績4.4か月分,"月給20万5,000円〜27万5,000円 ※試用期間6カ月あり（期間中の待遇変更なし） ※ご経験を考慮し決定いた…",不明
1190,富士フイルムロジスティックス株式会社 | 【富士フイルムグループ】★年間休日123日,月給：21万3000円〜30万円 ※経験、スキルを考慮して決定します。 ※試用期間3ヶ月（同条件）,350万円～550万円
1191,UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
1192,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…,300万円～500万円
1193,株式会社コペル | ★夜勤なし★完全週休2日★1人暮らし手当★有給1分単位取得OK,◆月給22万円〜40万円＋諸手当＋賞与 →10時間分のみなし残業代1万4125円〜含む/超過分は別途支給 ※土日…,300万円～500万円
1194,株式会社スタッフサービス | ＜実績No.1＞☆充実のサポート制度♪お休みたっぷり年間125日◎,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…,250万円～350万円
1195,株式会社共立メンテナンス | 【東証一部上場】◆残業少なめ＆月8日休みでプライベートも充実,"【全国転勤】 月給20万6,000円〜25万1,000円＋賞与（夏期・冬期・決算賞与） ※一律支給の勤務区分給30,0…",300万円～500万円
1196,中京フロン株式会社 | 《全国へ拡大中＆福岡に新拠点OPEN》◎SDGs推進企業 ◎昇給年2回,月給17万6000円〜22万円 ◆初年度月収例 月収25万円(月給19万円＋各種手当) 23歳(未婚者)：入社3ヶ月後 …,300万円～450万円
1197,アルバクリエイト株式会社 | ■ノルマなし ■残業月平均10時間 ■完全週休2日制,"固定給月給24万6,000円以上 + インセンティブ ※上記の金額には、一律で営業手当5万円分を含む。 ※3ヶ…",不明
1198,株式会社テクノプラスト | 【 創立53年！プラスチック加工メーカー 】★残業月10時間ほど,月給18.5万円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3か月あり。期間中の…,不明
1199,株式会社ウィルオブ・コンストラクション | 20代活躍中★転勤なし★スピード選考実施中★お休みもたっぷり,"◆関東：月給25万円〜30万円＋各種手当＋賞与年2回(固定残業代46,000円〜55,000円／30時間分含む) ◆中…",不明
1200,株式会社ミュゼプラチナム | ★週休3日もOK★転勤なし★美容脱毛0円★コスメ社割★WEB面接1回,【1】月給24万円以上 東京/神奈川/埼玉/千葉/茨城/静岡/山梨/ 岐阜/愛知/三重/滋賀/大阪/京都/奈良/兵庫…,350万円～450万円
1201,磯部鉄工株式会社 | 【創業大正3年】歴史あるメーカーで安定した未来を描く！,月給21万円 〜 27万円 + 諸手当 ★賞与年2回支給！ ★住宅手当や家族手当など、生活をサポートする充…,不明
1202,ホーチキ株式会社 | 【東証一部上場】◆防災機器メーカーのリーディングカンパニー,"月給:21万1,000円以上＋各種手当＋賞与年2回（5.2ヶ月分※今年度実績） 【平均年収】 30歳／500万円 35…",350万円～600万円
1203,株式会社サニックス | ◆東証一部上場企業 ◆年間休日115日 ◆初任地希望を確約,【1】宇都宮・名古屋・津・浜松・橿原・和歌山 月給29万1千円 【2】北九州・佐賀・長崎・鹿児島 月給26…,不明
1204,株式会社ネオキャリア | 【働き方改革成功企業】◆前年比150％の成長事業◆年間休日125日,◆東京｜月給29万円〜43万円＋諸手当 ※固定残業代（月45時間分／7万6000円〜11万2000円）を含む。 ◆福…,260万円～516万円
1205,株式会社フジナガ | 【創業40周年】全国展開する鳥害対策業界のトップクラスメーカー,■月給24万円〜31万円+インセンティブ(歩合)＋諸手当＋賞与(年2回)＋決算賞与 ※関東支店・横浜営業所勤…,350万円～550万円
